file,path,exists,pandas_readable,pandas_error,duckdb_readable,duckdb_error,rows,columns,date_min,date_max,nonnull_rate,n_code,error
trade_calendar.parquet,data/raw/trade_calendar.parquet,True,True,,,,2987.0,date,2014-01-02,2026-04-17,{},,
stock_universe.parquet,data/raw/stock_universe.parquet,True,True,,,,5420.0,"code, name, list_date, delist_date",1990-12-01,2025-12-31,{},5420.0,
stock_daily.parquet,data/raw/stock_daily.parquet,True,True,,,,1881421.0,"date, code, close_adj, total_mv, float_mv, turnover, amount",2024-01-02,2026-04-17,"{""close_adj"": 1.0, ""total_mv"": 1.0, ""float_mv"": 1.0, ""turnover"": 0.9537, ""amount"": 0.9537}",5417.0,
stock_industry.parquet,data/raw/stock_industry.parquet,True,True,,,,802160.0,"date, code, industry",2014-01-30,2026-04-17,"{""industry"": 0.0}",5420.0,
stock_financials.parquet,data/raw/stock_financials.parquet,True,True,,,,308940.0,"report_date, code, dtoa, revenue, net_profit, roa, gpm, ato, bps, eps_ttm, div_yield",2012-03-31,2026-03-31,"{""eps_ttm"": 0.0}",5420.0,
index_daily.parquet,data/raw/index_daily.parquet,True,True,,,,48814.0,"date, code, close",2014-01-02,2026-04-17,"{""close"": 1.0}",18.0,
index_constituents.parquet,data/raw/index_constituents.parquet,False,False,,False,,,,,,,,missing
etf_info.parquet,data/raw/etf_info.parquet,True,True,,,,1566.0,"code, name, track_raw, track_name, tracking_index, list_date",2014-01-02,2026-02-02,"{""tracking_index"": 0.1501}",1566.0,
etf_daily.parquet,data/raw/etf_daily.parquet,True,True,,,,701945.0,"date, code, nav, close, amount",2014-01-02,2026-04-17,"{""amount"": 0.3237, ""nav"": 0.0, ""close"": 0.3238}",235.0,
macro_DR007.parquet,data/raw/macro_DR007.parquet,True,True,,,,2216.0,"date, value",2017-05-31,2026-04-17,"{""value"": 1.0}",,
macro_SHIBOR_1周.parquet,data/raw/macro_SHIBOR_1周.parquet,True,True,,,,2264.0,"date, value",2015-05-08,2026-04-17,"{""value"": 1.0}",,
macro_SHIBOR_1年.parquet,data/raw/macro_SHIBOR_1年.parquet,True,True,,,,2264.0,"date, value",2015-05-08,2026-04-17,"{""value"": 1.0}",,
macro_三峡水库站_入库流量.parquet,data/raw/macro_三峡水库站_入库流量.parquet,True,True,,,,762.0,"date, value",2024-03-16,2026-04-17,"{""value"": 1.0}",,
macro_三峡水库站_出库流量.parquet,data/raw/macro_三峡水库站_出库流量.parquet,True,True,,,,762.0,"date, value",2024-03-16,2026-04-17,"{""value"": 1.0}",,
macro_中债新综合指数.parquet,data/raw/macro_中债新综合指数.parquet,True,True,,,,3072.0,"date, value",2014-01-02,2026-04-17,"{""value"": 1.0}",,
macro_中国出口集装箱运价指数CCFI_综合指数.parquet,data/raw/macro_中国出口集装箱运价指数CCFI_综合指数.parquet,True,True,,,,113.0,"date, value",2024-01-05,2026-04-17,"{""value"": 1.0}",,
macro_中国沿海散货运价指数CBFI_综合指数.parquet,data/raw/macro_中国沿海散货运价指数CBFI_综合指数.parquet,True,True,,,,112.0,"date, value",2024-01-05,2026-04-17,"{""value"": 1.0}",,
macro_乘用车日均销量_厂家批发_当周.parquet,data/raw/macro_乘用车日均销量_厂家批发_当周.parquet,True,True,,,,116.0,"date, value",2024-01-07,2026-04-12,"{""value"": 1.0}",,
macro_乘用车日均销量_厂家零售_当周.parquet,data/raw/macro_乘用车日均销量_厂家零售_当周.parquet,True,True,,,,116.0,"date, value",2024-01-07,2026-04-12,"{""value"": 1.0}",,
macro_国债到期收益率_10年.parquet,data/raw/macro_国债到期收益率_10年.parquet,True,True,,,,3072.0,"date, value",2014-01-02,2026-04-17,"{""value"": 1.0}",,
macro_国债到期收益率_1年.parquet,data/raw/macro_国债到期收益率_1年.parquet,True,True,,,,3072.0,"date, value",2014-01-02,2026-04-17,"{""value"": 1.0}",,
macro_生产资料价格指数.parquet,data/raw/macro_生产资料价格指数.parquet,True,True,,,,112.0,"date, value",2024-01-07,2026-04-12,"{""value"": 1.0}",,
macro_电影票房收入.parquet,data/raw/macro_电影票房收入.parquet,True,True,,,,835.0,"date, value",2024-01-01,2026-04-17,"{""value"": 1.0}",,
macro_美元兑人民币_中间价.parquet,data/raw/macro_美元兑人民币_中间价.parquet,True,True,,,,791.0,"date, value",2018-02-06,2021-05-13,"{""value"": 1.0}",,
