data_item,module,required_fields,current_file,candidate_file,pit_requirement,priority,notes
stock_daily,个股日频数据,date;code;close;close_adj;return;total_mv;float_mv;turnover;amount;volume;list_status;is_st;suspend_flag;limit_up_down_flag,data/raw/stock_daily.parquet,data/raw/stock_daily_ifind_candidate.parquet,日频行情按交易日；停牌/ST/涨跌停/上市状态须为当日可知,P0,Barra 行情类描述变量、风格收益截面回归、市值/流动性过滤
trade_calendar,股票池和交易日历,date;is_open;market,data/raw/trade_calendar.parquet,data/raw/trade_calendar_ifind_candidate.parquet,交易日历本身无未来函数；需覆盖 A 股交易日,P0,周末/月末调仓日、执行日映射
stock_universe,股票池和交易日历,code;name;list_date;delist_date;exchange;board;list_status,data/raw/stock_universe.parquet,data/raw/stock_universe_ifind_candidate.parquet,上市/退市状态按日期构造真实股票池,P0,需支持剔除北交所、ST、上市未满 N 日
stock_industry,历史行业分类,date;code;industry;industry_code;industry_name;industry_level;industry_scheme;source;pit_quality,data/raw/stock_industry.parquet,data/raw/stock_industry_ifind_candidate.parquet,月末历史快照；不能用当前行业冒充历史行业,P0,截面回归行业因子约束；当前 industry 全空则不可复用
index_constituents,历史指数成分股和权重,date;index_code;code;weight;source;snapshot_quality,data/raw/index_constituents.parquet,data/raw/index_constituents_ifind_candidate.parquet,月末历史成分和历史权重；latest_only 只能近似,P0,指数风格暴露硬阻塞；覆盖静态池并支持 ETF 动态扩展
stock_financials,财务 PIT 数据,code;report_date;ann_date;publish_date;revenue;net_profit;net_profit_ttm;eps;eps_ttm;bps;total_assets;total_equity;roa;gpm;ato;dtoa;dividend_ttm;div_yield;source;pit_quality,data/raw/stock_financials.parquet,data/raw/stock_financials_ifind_candidate.parquet,必须优先公告日/发布日期；无公告日才固定滞后近似,P0,DTOA/VSAL/VERN/ATO/ROA/GPM/BTOP/ETOP/EGRO/SGRO/DTOP
etf_info,ETF 信息,code;name;list_date;delist_date;tracking_index;fund_type;manager,data/raw/etf_info.parquet,data/raw/etf_info_ifind_candidate.parquet,ETF 上市/退市和跟踪指数按当时可知；tracking_index 是指数映射关键字段,P0,报告使用有 ETF 追踪的宽基指数池
etf_daily,ETF 行情,date;code;nav;close;close_adj;amount;volume;turnover;premium_discount,data/raw/etf_daily.parquet,data/raw/etf_daily_ifind_candidate.parquet,日频行情/净值按交易日；执行价口径需固定,P0,近 30 日成交额选 ETF；回测用 nav/close_adj/close 需明确
index_daily,指数行情,date;code;close;return,data/raw/index_daily.parquet,data/raw/index_daily_ifind_candidate.parquet,指数日行情；中证全指为 beta/基准,P1,HBETA/HALPHA/HSIGMA 市场基准、回测 benchmark
macro_乘用车日均销量_厂家零售_当周,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_乘用车日均销量_厂家零售_当周.parquet,data/raw/macro_乘用车日均销量_厂家零售_当周_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=consumption; freq=w; direction=1
macro_乘用车日均销量_厂家批发_当周,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_乘用车日均销量_厂家批发_当周.parquet,data/raw/macro_乘用车日均销量_厂家批发_当周_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=consumption; freq=w; direction=1
macro_电影票房收入,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_电影票房收入.parquet,data/raw/macro_电影票房收入_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=consumption; freq=d; direction=1
macro_中国轻纺城成交量,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国轻纺城成交量.parquet,data/raw/macro_中国轻纺城成交量_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P2,category=consumption; freq=d; direction=1
macro_中国出口集装箱运价指数CCFI_综合指数,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国出口集装箱运价指数CCFI_综合指数.parquet,data/raw/macro_中国出口集装箱运价指数CCFI_综合指数_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=export; freq=w; direction=1
macro_中国沿海散货运价指数CBFI_综合指数,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中国沿海散货运价指数CBFI_综合指数.parquet,data/raw/macro_中国沿海散货运价指数CBFI_综合指数_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=export; freq=w; direction=1
macro_三峡水库站_出库流量,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_三峡水库站_出库流量.parquet,data/raw/macro_三峡水库站_出库流量_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=industrial; freq=d; direction=1
macro_三峡水库站_入库流量,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_三峡水库站_入库流量.parquet,data/raw/macro_三峡水库站_入库流量_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=industrial; freq=d; direction=1
macro_生产资料价格指数,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_生产资料价格指数.parquet,data/raw/macro_生产资料价格指数_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=industrial; freq=w; direction=1
macro_SHIBOR_1周,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_SHIBOR_1周.parquet,data/raw/macro_SHIBOR_1周_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=-1
macro_SHIBOR_1年,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_SHIBOR_1年.parquet,data/raw/macro_SHIBOR_1年_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=-1
macro_国债到期收益率_1年,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_国债到期收益率_1年.parquet,data/raw/macro_国债到期收益率_1年_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=-1
macro_国债到期收益率_10年,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_国债到期收益率_10年.parquet,data/raw/macro_国债到期收益率_10年_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=-1
macro_DR007,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_DR007.parquet,data/raw/macro_DR007_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=-1
macro_中债新综合指数,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_中债新综合指数.parquet,data/raw/macro_中债新综合指数_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=credit; freq=d; direction=1
macro_美元兑人民币_中间价,宏观指标数据,date;value;indicator_name;category;source;freq;pit_quality,data/raw/macro_美元兑人民币_中间价.parquet,data/raw/macro_美元兑人民币_中间价_ifind_candidate.parquet,按指标发布时间/PIT 可得性记录；日/周频汇总到周度熵权得分,P1,category=fx; freq=d; direction=-1
