因子,代码,RankIC,ICIR,t值,IC>0占比,多空年化,多空夏普,多空回撤
彩票MAX,max_ret,0.0796,0.628,7.19,0.779,0.1194,0.74,-0.209
低换手,low_turnover,0.0864,0.537,6.15,0.71,0.2211,1.13,-0.173
Amihud非流动性,illiquidity,0.0439,0.47,5.38,0.695,0.1551,1.28,-0.139
低波动,low_vol,0.0807,0.446,5.1,0.679,0.0662,0.39,-0.281
1月反转,reversal,0.0549,0.405,4.63,0.595,0.1773,1.01,-0.221
盈利收益率EP,ep,0.0544,0.361,4.13,0.656,0.0849,0.53,-0.288
市值,size,0.0485,0.309,3.54,0.649,0.2297,1.19,-0.258
账面市值比BP,bp,0.0496,0.291,3.33,0.573,0.0281,0.24,-0.411
销售收益率SP,sp,0.0375,0.27,3.09,0.603,0.0673,0.49,-0.259
12-1月动量,momentum,-0.0159,-0.126,-1.44,0.527,0.0119,0.15,-0.333
