,reversal,low_turnover,illiquidity,size,low_vol,max_ret
ofi,-0.4015652752558593,-0.24003173241677733,-0.05558881939833167,-0.0007575615322928058,-0.1941412590790932,-0.24901963501984412
ofi_big,-0.35659309034308295,-0.19634246412980919,-0.024315260152760348,-0.00848759137477229,-0.1472788354842927,-0.20305450718763005
ofi_small,-0.0021872590333300644,0.11744696464646982,0.10200455346493752,0.03138483124324602,0.1170330913891791,0.05392858581670696
spread,-0.09657033130632853,-0.24327516682524586,0.24591102548822716,0.07778290248870517,-0.31294389312298604,-0.25030087223065023
vpin,-0.02552729358238459,-0.3106032445408072,-0.05348731016344035,0.03668180699276765,-0.36317901818998344,-0.2315488284650021
rskew,0.582296477056409,0.3074178083959357,0.07902998493640978,0.012039634381749957,0.21420257787495198,0.32773668308006376
downside,0.5822964746844637,0.30741781022466164,0.07902998641271798,0.012039633123008906,0.21420257865381365,0.32773668461504435
jump_freq,0.0015482703853406173,0.21244223855895114,0.06115729120274027,0.007266867383475523,0.26864851440268916,0.1554635515465622
sjv,0.5213014596074087,0.4275280717936107,0.05621380097753239,0.0012279626590661619,0.37862420529379937,0.5596305255728801
